Date,ClosePrice,A,B,C,D,E,F,G
20130102,23.05,-9.83842 ,2.69661 ,0.94263 ,-2.41832 ,-5.24304 ,-0.55409 ,-0.61051 
20130103,23.14,-9.82754 ,0.57355 ,-2.09879 ,-0.68123 ,-4.06731 ,-2.74794 ,-0.16338 
20130104,22.89,-9.27926 ,-0.63434 ,0.64400 ,0.44648 ,-4.52334 ,-1.54275 ,-1.46550 
20130107,22.98,-9.20119 ,1.10651 ,0.78749 ,-1.14583 ,-4.40718 ,0.35970 ,-2.60961 
20130108,23.1,-9.50861 ,0.58395 ,-1.29926 ,-0.34204 ,-3.05758 ,-1.08544 ,-2.11695 
20130109,22.89,-9.38591 ,-0.21127 ,-2.41441 ,-0.09054 ,-2.97866 ,-1.52443 ,-1.47846 
20130110,23.25,-9.28186 ,1.25112 ,-1.31505 ,-1.83191 ,-3.43662 ,0.46097 ,-1.49575 
20130111,23.4,-9.39354 ,-1.83186 ,-5.62967 ,-0.00182 ,-2.92103 ,-1.42332 ,-0.88982 
20130114,23.38,-8.83756 ,-3.47677 ,-3.53129 ,0.43174 ,-4.18633 ,-1.22389 ,-0.87120 
20130115,23.62,-8.41623 ,-3.34054 ,-0.26178 ,0.03709 ,-4.98331 ,-0.25880 ,-0.73082 
20130116,23.7,-8.21528 ,-4.90868 ,-4.06559 ,0.23458 ,-3.94687 ,-0.92577 ,-1.32082 
20130117,23.88,-7.66865 ,-5.49575 ,-2.49415 ,-0.47970 ,-4.59966 ,0.09767 ,-1.27449 
20130118,23.77,-7.25266 ,-6.71329 ,-2.43202 ,-0.72528 ,-5.01972 ,-0.21111 ,-0.74657 
20130121,23.84,-6.81476 ,-5.87035 ,0.44590 ,-1.65973 ,-5.02383 ,1.08493 ,-0.94320 
20130122,23.95,-6.77438 ,-5.86863 ,-2.99539 ,-2.66130 ,-3.65364 ,0.17330 ,-0.57377 
20130123,23.97,-6.63768 ,-6.59255 ,-4.22956 ,-2.72329 ,-4.18882 ,-0.65557 ,-0.23543 
20130124,24.06,-6.32343 ,-6.29756 ,-2.44797 ,-3.58269 ,-5.48037 ,-0.38323 ,0.01722 
20130125,24.18,-6.09568 ,-6.84072 ,-2.40202 ,-3.34572 ,-5.49128 ,-0.30872 ,-0.55804 
20130128,24.36,-5.88062 ,-7.31244 ,-4.14411 ,-3.50949 ,-5.39026 ,-0.88615 ,-0.60794 
20130129,24.37,-5.46779 ,-7.43078 ,-3.04131 ,-3.50192 ,-5.86657 ,-1.09159 ,-0.28373 
20130130,24.42,-4.97214 ,-7.18518 ,-1.01463 ,-3.78890 ,-6.12321 ,-0.29854 ,-0.75574 
20130131,24.4,-4.78382 ,-7.16102 ,-1.94034 ,-3.65975 ,-5.28487 ,-0.40681 ,-0.75136 
20130201,24.43,-4.54082 ,-6.56483 ,-0.57498 ,-3.80655 ,-4.87338 ,-0.16952 ,-0.66851 
20130204,24.5,-4.47600 ,-6.20524 ,-1.16269 ,-4.07989 ,-4.46387 ,-0.70470 ,-0.23092 
20130205,24.79,-4.36484 ,-6.45640 ,-2.16883 ,-3.86116 ,-4.29092 ,-0.94150 ,-0.49257 
20130206,24.75,-4.06470 ,-7.54170 ,-5.44918 ,-4.12361 ,-4.72573 ,-2.11488 ,-0.77024 
20130218,24.78,-3.51064 ,-7.02573 ,-0.14584 ,-3.83036 ,-5.96683 ,-1.13934 ,-0.78285 
20130219,24.99,-3.34063 ,-6.78676 ,-1.19242 ,-4.05042 ,-5.17073 ,-0.88805 ,-1.30037 
20130220,25.01,-3.06912 ,-7.43251 ,-1.28328 ,-3.07759 ,-4.55625 ,-1.68761 ,-1.05820 
20130221,24.57,-2.64672 ,-7.07328 ,-2.15220 ,-4.18150 ,-4.72683 ,-0.85256 ,-1.48924 
20130222,24.5,-2.63790 ,-4.15408 ,0.07210 ,-6.52166 ,-4.82023 ,0.91893 ,-1.92601 
20130223,24.5,-3.30765 ,-2.32780 ,-0.38058 ,-5.99326 ,-4.23088 ,-1.16753 ,-0.80649 
20130225,24.76,-3.51692 ,-1.45838 ,-1.05254 ,-5.76641 ,-3.52708 ,-2.59187 ,-0.34690 
20130226,24.82,-3.47278 ,-2.55241 ,-0.77843 ,-4.15926 ,-3.98075 ,-4.27575 ,-0.17357 
20130227,24.57,-3.02289 ,-3.25712 ,-0.04452 ,-3.13932 ,-4.25659 ,-2.88480 ,-1.77364 
20130301,24.76,-2.96497 ,-1.25242 ,1.34250 ,-4.26855 ,-4.21476 ,-1.14756 ,-2.56652 
20130304,24.43,-3.10209 ,-1.85277 ,1.07239 ,-2.49577 ,-3.33701 ,-2.72610 ,-1.96185 
20130305,24.31,-3.21750 ,0.48502 ,-0.12526 ,-4.25818 ,-2.17847 ,-1.80908 ,-2.41538 
20130306,24.4,-3.64887 ,2.13916 ,1.33673 ,-4.35537 ,-2.85298 ,-1.54411 ,-1.74553 
20130307,24.11,-3.91767 ,1.65014 ,1.52845 ,-2.70302 ,-2.84484 ,-2.52387 ,-1.59460 
20130308,24.01,-4.07517 ,3.55752 ,2.19286 ,-3.59470 ,-2.31473 ,-1.73089 ,-1.75390 
20130311,24.29,-4.59362 ,4.46747 ,1.33223 ,-2.94156 ,-1.59070 ,-2.13031 ,-1.79161 
20130312,24.15,-4.77931 ,2.73736 ,1.34670 ,-0.15582 ,-1.93739 ,-3.92300 ,-1.53212 
20130313,23.84,-4.55382 ,3.20026 ,1.79716 ,-0.85778 ,-1.97371 ,-1.86660 ,-2.55708 
20130314,23.55,-4.97009 ,4.41400 ,-0.27734 ,-1.72287 ,-0.52372 ,-0.96400 ,-3.10018 
20130315,23.84,-5.72865 ,5.68463 ,-4.58495 ,-3.06326 ,0.39563 ,-0.35908 ,-3.15207 
20130318,23.83,-6.13819 ,4.12015 ,0.27481 ,-0.07978 ,-2.43606 ,-2.59697 ,-0.84147 
20130319,24.01,-5.91203 ,3.63356 ,1.64949 ,0.48889 ,-3.01822 ,-1.59471 ,-1.67218 
20130320,23.67,-5.85680 ,2.08755 ,0.38684 ,1.91747 ,-2.06592 ,-1.81422 ,-2.16772 
20130321,23.33,-5.80525 ,3.57698 ,1.31761 ,0.23894 ,-2.19934 ,0.85062 ,-3.28116 
20130322,23.38,-6.51143 ,5.32963 ,0.30778 ,-1.02635 ,-1.40427 ,0.77024 ,-1.88383 
20130325,22.92,-7.04289 ,4.99046 ,1.38211 ,0.09947 ,-1.65806 ,-0.19401 ,-1.03731 
20130326,23.05,-7.55000 ,7.15665 ,-0.60625 ,-2.00507 ,-0.22300 ,0.51122 ,-0.89210 
20130327,23.57,-8.17784 ,6.19936 ,-0.50980 ,-0.47262 ,-0.63080 ,-0.69296 ,-0.51720 
20130328,23.68,-8.08388 ,2.38231 ,-2.24896 ,2.83353 ,-0.96606 ,-3.19305 ,-0.33733 
20130329,23.87,-7.40874 ,1.16939 ,-1.94677 ,2.86929 ,-1.39259 ,-1.78670 ,-1.20231 
20130401,23.84,-6.93249 ,-0.45519 ,0.52299 ,4.08337 ,-2.67831 ,-0.67604 ,-1.73010 
20130402,23.65,-6.51123 ,-0.93916 ,0.33583 ,3.43439 ,-1.87877 ,0.93295 ,-2.18882 
20130403,23.59,-6.46867 ,0.01326 ,0.74945 ,1.65346 ,-1.30208 ,2.15383 ,-1.28888 
20130408,23.88,-6.59828 ,0.50373 ,1.58500 ,0.74687 ,-0.98352 ,1.97223 ,-0.43864 
20130409,23.71,-6.54056 ,-1.27766 ,0.09190 ,1.96750 ,-0.16416 ,0.30385 ,0.54112 
20130410,23.75,-6.22957 ,-0.65677 ,1.50250 ,0.62723 ,-0.53689 ,1.50891 ,0.20228 
20130411,23.89,-6.29065 ,-0.77174 ,2.11885 ,0.89555 ,-0.52174 ,0.95744 ,0.32405 
20130412,24.42,-6.19446 ,-1.48443 ,-1.70001 ,0.52595 ,1.38355 ,0.13343 ,-0.03887 
20130415,24.62,-5.62640 ,-4.26987 ,-1.86261 ,2.06330 ,0.85687 ,-1.59190 ,0.48401 
20130416,24.79,-4.79382 ,-5.81550 ,-4.98405 ,1.40690 ,0.82094 ,-0.92036 ,-0.48785 
20130417,24.8,-4.12323 ,-6.77026 ,-2.11882 ,1.61206 ,-0.87458 ,-0.46834 ,0.02995 
20130418,24.83,-3.50966 ,-6.88669 ,-0.64115 ,0.92644 ,-1.25744 ,0.92657 ,-0.53357 
20130419,24.91,-3.25495 ,-6.37602 ,-3.52303 ,-0.52571 ,-0.32260 ,1.03342 ,-0.52363 
20130422,24.48,-2.95491 ,-6.45152 ,0.05065 ,-0.31348 ,-1.86432 ,1.23942 ,0.18106 
20130423,24.67,-2.99834 ,-3.71836 ,-1.39086 ,-3.64640 ,-1.15401 ,2.82025 ,-0.14212 
20130424,24.93,-3.28079 ,-3.70607 ,0.69291 ,-2.28009 ,-1.33410 ,-0.08837 ,1.82653 
20130425,24.96,-2.90185 ,-5.06215 ,0.81811 ,-1.10556 ,-1.11270 ,-1.19578 ,1.37267 
20130426,24.87,-2.55975 ,-4.76425 ,-2.91190 ,-2.28847 ,0.00962 ,-1.16181 ,0.48105 
20130429,25.01,-2.38152 ,-4.25579 ,-0.56981 ,-2.48643 ,-1.55809 ,0.00846 ,-0.26735 
20130430,24.9,-2.29041 ,-4.44929 ,1.41791 ,-1.65934 ,-1.95265 ,-0.56820 ,0.40329 
20130502,24.92,-2.17693 ,-3.68015 ,0.78569 ,-2.43008 ,-0.96244 ,-0.48936 ,0.27265 
20130503,24.65,-2.13486 ,-3.20109 ,2.08104 ,-2.13361 ,-0.79621 ,-0.94725 ,0.53993 
20130506,24.78,-2.20280 ,-1.28015 ,2.44052 ,-3.61825 ,-0.59613 ,0.61757 ,-0.18035 
20130507,24.75,-2.53171 ,-1.32578 ,1.49757 ,-2.52533 ,0.23644 ,-1.80350 ,0.60152 
20130508,24.91,-2.35025 ,-0.36899 ,1.73934 ,-3.06819 ,0.44655 ,-0.88855 ,-0.24772 
20130509,24.92,-2.37747 ,-1.10095 ,2.44645 ,-1.39820 ,0.20076 ,-2.38096 ,0.18936 
20130510,24.53,-2.21686 ,-1.53424 ,0.50137 ,-1.18508 ,1.00693 ,-1.59652 ,-1.22036 
20130513,24.44,-2.30424 ,1.32672 ,2.00477 ,-3.36063 ,0.50680 ,0.10511 ,-1.54836 
20130514,24.4,-2.88348 ,2.50521 ,2.01163 ,-2.99301 ,0.48994 ,-1.13160 ,-0.55050 
20130515,24.32,-3.21444 ,3.18438 ,2.83972 ,-2.36112 ,0.51092 ,-1.93123 ,-0.33591 
20130516,24.66,-3.48655 ,3.79224 ,1.80181 ,-2.25662 ,1.11836 ,-2.10154 ,-0.44156 
20130517,24.74,-3.54096 ,1.61296 ,0.04165 ,0.30746 ,1.43783 ,-3.87592 ,-0.36265 
20130520,24.41,-3.12529 ,0.26899 ,1.81271 ,1.44080 ,-0.07859 ,-2.48462 ,-1.54343 
20130521,24.7,-3.09868 ,2.38450 ,2.76934 ,-0.24874 ,-0.26017 ,0.02887 ,-2.31952 
20130522,24.57,-3.32861 ,0.50384 ,1.82435 ,2.08363 ,0.25374 ,-1.37918 ,-1.56062 
20130523,24.37,-3.11374 ,1.12851 ,1.48250 ,0.81818 ,0.76109 ,0.27191 ,-1.59492 
20130524,24.24,-3.28120 ,2.82729 ,1.24249 ,-0.65277 ,1.19150 ,1.00597 ,-1.21705 
20130527,24.32,-3.70093 ,3.66593 ,1.31004 ,-0.49357 ,1.12243 ,0.84237 ,-1.39046 
20130528,24.42,-3.92995 ,3.72276 ,2.19136 ,0.21533 ,0.89343 ,-0.52877 ,-0.18200 
20130529,24.31,-3.86388 ,3.16838 ,1.60771 ,0.93748 ,1.01977 ,-1.08355 ,-0.25711 
20130530,24.31,-3.85553 ,3.83315 ,0.55784 ,0.37326 ,1.69536 ,-0.37402 ,-1.57278 
20130531,24.49,-3.98039 ,3.69079 ,1.54907 ,0.77744 ,0.95966 ,-0.39622 ,-1.52809 
20130603,24.66,-3.96478 ,2.33494 ,0.69237 ,2.21261 ,1.11344 ,-1.63995 ,-0.81339 
20130604,24.81,-3.61787 ,0.51251 ,2.06291 ,3.56557 ,0.25168 ,-1.10083 ,-0.67771 
20130605,25.1,-3.23013 ,-0.85980 ,-1.83911 ,3.46167 ,2.33717 ,-0.27021 ,-1.76138 
20130606,25.16,-2.89356 ,-3.01575 ,-11.11698 ,2.66838 ,4.46677 ,-0.51478 ,-2.18959 
20130607,25.69,-2.18260 ,-3.91405 ,0.33614 ,3.41376 ,-0.95871 ,1.03195 ,-0.90046 
20130610,25.68,-1.71142 ,-6.35274 ,-7.48647 ,3.27997 ,0.98545 ,-0.55770 ,-0.43810 
20130611,25.66,-0.63697 ,-6.41308 ,-0.40223 ,2.58630 ,-1.16184 ,1.55981 ,-0.69041 
20130613,25.42,-0.27700 ,-6.53867 ,-1.39819 ,1.20817 ,-0.78107 ,2.06162 ,-0.41477 
20130614,25.56,-0.14172 ,-5.04870 ,-1.80804 ,-1.06749 ,-0.14219 ,3.03898 ,-0.44153 
20130617,25.83,-0.24690 ,-4.71927 ,0.34209 ,-1.01744 ,-0.72698 ,0.84907 ,1.92070 
20130618,25.48,0.04122 ,-6.23208 ,-1.91445 ,-0.08225 ,0.11179 ,-0.41779 ,1.62140 
20130619,25.41,0.46348 ,-3.64509 ,1.66928 ,-2.80515 ,-0.76951 ,2.02571 ,0.81621 
20130620,25.79,0.14962 ,-2.69028 ,1.25177 ,-2.99784 ,0.01286 ,0.76909 ,0.60681 
20130621,25.72,0.16242 ,-4.75796 ,-0.55187 ,-0.73645 ,0.50359 ,-2.21578 ,1.23190 
20130624,25.75,0.68346 ,-3.82063 ,2.04146 ,-1.75330 ,-0.42746 ,-0.94450 ,0.71915 
20130625,25.88,0.80082 ,-4.04105 ,0.92435 ,-1.42178 ,0.38089 ,-0.82783 ,-0.18861 
20130626,25.83,0.95341 ,-4.85803 ,0.26903 ,-0.56130 ,0.53908 ,-0.84120 ,-0.54496 
20130627,25.99,1.19915 ,-3.86428 ,0.69017 ,-1.56121 ,0.74417 ,-0.13040 ,-0.33008 
20130628,25.82,1.28384 ,-4.80120 ,0.95143 ,-0.38674 ,0.41271 ,-1.00995 ,-0.14596 
20130701,25.76,1.42800 ,-3.46985 ,0.97166 ,-1.84515 ,0.51266 ,0.62888 ,-0.55650 
20130702,25.56,1.29558 ,-2.64548 ,1.33807 ,-2.13318 ,0.84030 ,-0.02792 ,-0.03540 
20130703,25.58,1.15461 ,-0.68346 ,1.86315 ,-3.52025 ,0.81226 ,0.20857 ,-0.49267 
20130704,25.62,0.90724 ,0.23424 ,2.30975 ,-3.46167 ,0.89459 ,-1.11357 ,0.13621 
20130705,26.09,0.79994 ,0.26138 ,1.96512 ,-2.55637 ,0.97467 ,-2.10686 ,-0.05411 
20130708,26.48,0.76221 ,-2.95255 ,-10.42965 ,-1.76935 ,3.08427 ,-4.73670 ,-0.18211 
20130709,26.48,1.75804 ,-5.47549 ,-2.71000 ,0.48694 ,-1.44974 ,-3.45663 ,-0.89244 
20130710,26.19,2.55838 ,-5.53071 ,0.32387 ,0.30023 ,-2.68396 ,-1.53967 ,-1.49920 
20130711,26.08,2.71431 ,-3.62622 ,0.74612 ,-1.27757 ,-1.70650 ,0.81751 ,-1.97921 
20130712,27.9,2.45080 ,-2.06872 ,1.88486 ,-2.04318 ,-1.29251 ,0.61318 ,-0.77508 
20130715,26.48,3.04785 ,-9.12152 ,-5.90701 ,3.71418 ,-0.07481 ,-7.37712 ,2.71835 
20130716,26.64,4.82791 ,-2.50390 ,-3.70108 ,-5.08226 ,-1.20625 ,2.85804 ,-1.38410 
20130717,26.24,3.83563 ,-2.50484 ,-1.06336 ,-2.40941 ,-1.74079 ,-0.25972 ,-0.11246 
20130718,26.41,3.69266 ,-0.27777 ,0.81274 ,-3.45736 ,-1.90189 ,1.05896 ,-0.41576 
20130719,26.57,3.34488 ,0.63905 ,1.84351 ,-3.41001 ,-1.44243 ,-1.13443 ,1.19825 
20130722,26.16,3.40588 ,-0.71514 ,0.57628 ,-1.28764 ,-1.16040 ,-2.19491 ,-0.09715 
20130723,26.27,3.44820 ,1.93639 ,0.98192 ,-3.75888 ,-1.18895 ,0.00542 ,-0.67844 
20130724,26.22,3.00158 ,1.28203 ,0.15583 ,-1.69770 ,-0.55297 ,-1.56104 ,-0.57999 
20130725,26.16,2.96924 ,2.21738 ,0.79021 ,-1.56183 ,-0.50112 ,-1.66289 ,-1.01973 
20130726,26.14,2.77851 ,3.59228 ,0.42022 ,-2.03702 ,-0.34801 ,-1.83502 ,-1.14019 
20130729,25.99,2.65232 ,3.16856 ,2.14794 ,-0.70391 ,-1.37342 ,-1.57105 ,-1.42166 
20130730,26.22,2.45986 ,4.48308 ,0.67956 ,-1.69722 ,-0.51462 ,-1.38418 ,-1.31996 
20130731,26.22,2.26905 ,2.49619 ,0.71180 ,1.13066 ,-0.74865 ,-3.06889 ,-0.86040 
20130801,26.22,2.49418 ,2.30576 ,1.60915 ,1.82471 ,-1.28775 ,-1.75046 ,-2.05261 
20130802,26.14,2.54583 ,2.41143 ,1.37738 ,1.80645 ,-1.03011 ,-0.46720 ,-2.48056 
20130805,25.82,2.50486 ,2.20286 ,-1.48809 ,1.11264 ,0.38703 ,0.38285 ,-3.02192 
20130806,25.79,2.20293 ,4.39536 ,-0.01835 ,-0.74607 ,-0.09494 ,0.84387 ,-1.49513 
20130807,25.64,1.73739 ,4.79285 ,0.93251 ,-0.33969 ,-0.58000 ,-0.17821 ,-1.10256 
20130808,25.62,1.43439 ,5.75939 ,1.91319 ,-0.37225 ,-0.90987 ,-0.56135 ,-0.80728 
20130809,25.46,1.16198 ,6.13695 ,0.84264 ,-0.51699 ,-0.23892 ,-0.83850 ,-1.06971 
20130812,25.36,0.84886 ,6.80202 ,0.95559 ,-0.39120 ,-0.22179 ,-1.46322 ,-1.20816 
20130813,25.39,0.44828 ,7.33983 ,0.13590 ,-0.27550 ,0.19250 ,-1.66042 ,-1.11383 
20130814,25.27,0.21406 ,7.16123 ,1.46348 ,0.53925 ,-0.56871 ,-1.64374 ,-0.99371 
20130815,24.99,-0.01278 ,7.43875 ,0.06273 ,0.36670 ,0.19457 ,-1.52047 ,-1.42260 
20130816,25.31,-0.60245 ,8.04374 ,-7.10285 ,-1.32015 ,2.21788 ,-1.05856 ,-1.97078 
20130819,25.31,-0.88788 ,5.96276 ,-3.00863 ,1.49667 ,-1.09547 ,-2.80276 ,-0.28298 
20130820,25.56,-0.53125 ,5.12335 ,-0.12242 ,1.45831 ,-2.40991 ,-0.59883 ,-1.23254 
20130822,25.7,-0.50931 ,3.36822 ,-0.55446 ,3.74151 ,-1.92941 ,-1.43223 ,-0.73320 
20130823,25.1,0.00119 ,1.32387 ,0.10796 ,4.27062 ,-2.04012 ,0.00438 ,-1.69213 
20130826,25.26,-0.13961 ,4.34777 ,-3.19925 ,-0.04211 ,-0.52153 ,2.75217 ,-2.22117 
20130827,25.36,-0.69889 ,3.52047 ,0.45171 ,1.68924 ,-2.12872 ,0.70531 ,-0.20356 
20130828,25.53,-0.58684 ,2.77223 ,-1.92703 ,1.35722 ,-1.01265 ,0.67502 ,-0.20986 
20130829,25.84,-0.43443 ,1.19596 ,-1.19850 ,2.49893 ,-1.20307 ,-0.20431 ,0.52651 
20130830,25.9,0.07505 ,-1.60385 ,-0.08624 ,4.11255 ,-2.06647 ,0.11267 ,-0.18239 
20130902,25.99,0.69525 ,-1.82707 ,0.68434 ,3.41003 ,-1.86620 ,0.91442 ,-0.40837 
20130903,26.1,1.05959 ,-2.43374 ,0.77577 ,3.22448 ,-1.47280 ,1.34024 ,-0.37061 
20130904,25.99,1.43222 ,-2.86623 ,0.51950 ,2.86280 ,-0.60759 ,1.62474 ,-0.29762 
20130905,26.13,1.70394 ,-2.48805 ,1.37025 ,1.41872 ,-0.51753 ,2.92660 ,0.08388 
20130906,26.08,1.75288 ,-3.40300 ,0.89303 ,1.97655 ,0.10692 ,1.37986 ,1.18753 
20130909,25.98,2.02155 ,-2.85248 ,1.78872 ,1.12082 ,0.11667 ,1.89968 ,1.00714 
20130910,26.08,2.05066 ,-1.91355 ,2.35269 ,-0.05136 ,0.29603 ,1.77168 ,1.43791 
20130911,25.99,2.06435 ,-1.73694 ,1.32394 ,-0.01775 ,1.21463 ,1.02282 ,1.21750 
20130912,25.97,2.12688 ,-0.85275 ,-0.19810 ,-1.54274 ,2.29255 ,0.74077 ,1.15863 
20130913,25.89,2.06838 ,-0.47588 ,-0.57145 ,-1.94239 ,2.32907 ,0.07047 ,1.01945 
20130914,25.72,1.89428 ,-0.17372 ,1.15156 ,-1.33695 ,1.08642 ,-0.36457 ,1.21878 
20130916,25.68,1.71153 ,1.45540 ,2.29812 ,-2.15065 ,0.86166 ,-0.39112 ,1.48346 
20130917,25.8,1.39884 ,2.33858 ,1.28187 ,-1.79360 ,1.45031 ,-1.42558 ,1.17670 
20130918,26.17,1.27142 ,1.73674 ,1.55597 ,-0.57311 ,1.09469 ,-2.25848 ,1.04468 
20130923,26.26,1.54856 ,-1.02393 ,1.04965 ,1.62127 ,0.81580 ,-2.74937 ,0.72766 
20130924,26.16,2.15220 ,-2.38280 ,-2.64742 ,1.28208 ,2.30074 ,-1.25466 ,-1.16697 
20130925,26.12,2.40735 ,-2.01030 ,1.41377 ,1.00186 ,0.18669 ,0.45086 ,-0.88603 
20130926,26.12,2.41804 ,-1.72205 ,1.17115 ,0.55372 ,0.49437 ,0.69472 ,-0.65625 
20130927,26.12,2.42333 ,-1.23251 ,2.23061 ,0.09853 ,0.59126 ,0.52584 ,0.30398 
20130930,26.12,2.49071 ,-1.10580 ,1.49384 ,-0.66449 ,1.21572 ,0.58743 ,0.90869 
20131001,26.34,2.48663 ,-1.03636 ,0.20512 ,-0.89539 ,1.96615 ,0.05883 ,0.99964 
20131002,26.47,2.60394 ,-2.78367 ,-0.65180 ,0.60762 ,1.97580 ,-0.95380 ,1.40492 
20131003,26.52,3.06253 ,-3.90484 ,-0.26065 ,0.76459 ,1.55781 ,-0.18204 ,-0.00836 
20131004,26.63,3.33169 ,-4.10178 ,-1.32318 ,0.38193 ,1.78974 ,0.18444 ,-0.02508 
20131007,26.4,3.58134 ,-5.29201 ,-1.47481 ,0.69386 ,1.46142 ,0.76946 ,0.07230 
20131008,26.36,3.73995 ,-3.06110 ,-2.63528 ,-2.22812 ,1.62704 ,2.29321 ,-0.06479 
20131009,26.37,3.49372 ,-1.80951 ,2.30085 ,-1.63154 ,-0.14128 ,1.12220 ,1.30699 
20131011,26.56,3.34455 ,-1.05451 ,0.94856 ,-1.47718 ,0.74768 ,0.35910 ,1.86651 
20131014,26.4,3.52507 ,-1.53902 ,-0.08833 ,-1.00612 ,1.45305 ,-1.12925 ,1.63055 
20131015,26.32,3.71483 ,-0.76934 ,1.99858 ,-1.36617 ,0.11713 ,0.38249 ,0.39079 
20131016,26.38,3.53729 ,0.70599 ,1.86937 ,-1.94413 ,0.54937 ,-0.25359 ,0.09355 
20131017,26.48,3.42535 ,0.86942 ,1.00208 ,-1.36265 ,1.00765 ,-0.97961 ,0.27864 
20131018,26.19,3.43922 ,0.52307 ,1.65100 ,-0.40975 ,0.75738 ,-2.01832 ,0.76075 
20131021,26.48,3.43796 ,2.22584 ,-2.89518 ,-2.85881 ,2.32213 ,-0.26371 ,-1.09599 
20131022,26.47,3.28242 ,0.77810 ,1.82058 ,0.28121 ,-0.25835 ,-1.63720 ,0.20272 
20131023,26.41,3.49262 ,0.45466 ,1.69539 ,0.43951 ,-0.12137 ,-1.23318 ,-0.43425 
